review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT2pWR1oxcHlPVmRvUVZGSk4wZFRZalJXV0hKbFJIYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,第一次帶小朋友用餐遇到這麼不友善的店，只點10顆水餃給小朋友吃大人沒有要吃，我知道這樣不好意思佔用太多位置，所以主動跟老闆說只坐兩個位置大人用站的在旁邊陪小孩吃，卻連站在旁邊也不行說會擋到端湯，（重點我們的座位再隔壁騎樓邊沒有影響到動線），到底在跩什麼，氣死！！,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT214UE9IWXpNVnBOVVY5NlNXSmhiRkJMWDBScVQyYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,隔壁有更好的選擇,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xoMFh6VjRlbEpGWkhWTVFWZDBPRXR2ZFZoUUxYYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,一顆10元的水餃，皮爛爛內餡絞肉也是水水爛爛，難吃！沒吃過這麼難吃還這麼貴的水餃，酸辣湯像大滷湯，一堆人吃，嘴巴是壞掉了嗎？,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2s0MFdFMWlUM3BMVTNjM2FXeDVTVU5aVkdoUU1tYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,,,1,
Ci9DQUlRQUNvZENodHljRjlvT21Kc1RVeEhkVGd4WDBzM1ZVTTVURTlYUmpSVVRWRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"只是想買個冷凍水餃，卻遇到態度非常不耐煩的服務。
先得到了一句：沒有訂就沒有啦！所以我問：那現在可以訂嗎？卻又得到一句：等一下沒看我現在很忙啊！的回應。等一下當然沒問題但這種口氣讓人很不舒服。
知名餃子店生意很好，可惜這種服務態度真的令人難以下嚥。",,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xwd1dWbGpXblpaTkVoMk9HUXhMVEZpWWpnMGNIYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,當地氛圍尚可，服務極差，態度不友好,2,,3
Ci9DQUlRQUNvZENodHljRjlvT2xWUWFtTnVTWFo0YlVVd2VFUTJVbWx2T1dkWmNWRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,環境不佳 態度差  青年公園旁的新來來水餃川菜館 環境好水餃也很棒,2,1,
Ci9DQUlRQUNvZENodHljRjlvT20xbk1tZGpWMXBRU1VGSlZVWktkMll6TWtwMmEwRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,真心難吃，肉散的跟什麼一樣，10元一顆就算了，接待的金髮阿姨有夠沒禮貌，排隊的請三思啊。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2taWmQyUlRZelJHU0ZoWk1rczFOREI2Vkc5SWRVRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,如果你正在排隊 誠心建議可以離開 去吃八方 好吃省時間,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21STU5XY3RSemwyVGtJdFVFRkRhR2xHTFZnM1UxRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,肉散散的 皮厚 不便宜 隔壁比較好吃,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2taeVdqUmtUMFpWVW1RMWMwWlJURGhxU0doS1RGRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,太貴了！味道普普。,,,
Ci9DQUlRQUNvZENodHljRjlvT21oalFrRjFWeTA0WlVoaVYxRjZMVU5STnpka1JtYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"金毛阿姨帶位子的那個
臉有夠臭 態度有夠差的",,,
Ci9DQUlRQUNvZENodHljRjlvT2poUVVXMXpjVk5GYURsMmFrdEhRa2R6VWt3dGFIYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,人很多，但水準不高！,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21kcmF6bDViV2QyTmxwS1NqQjFNbkpNV1Vod1gzYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"態度超差
隨便一個基本問題就會被女店員白眼+不耐煩
甚至被罵
東西再好吃也不用去花錢找罪受
重點是食物也普通",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2t3MWFWRk5SbmhIZUV4R1ZUUmZVakpWWlc5NFJXYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,軟爛的水餃皮加上沒什麼口感的內餡以及差勁的服務態度。,1,1,1
